set,phase,ms,type
control,after-render,2.374,self
control,after-render,1985.779,cumulative
control,paint,0.038,self
control,paint,1985.817,cumulative
control,load,511.422,self
control,load,511.422,cumulative
control,boot,198.768,self
control,boot,710.19,cumulative
control,transition,246.375,self
control,transition,956.565,cumulative
control,render,598.062,self
control,render,1554.627,cumulative
control,lazy-render,416.915,self
control,lazy-render,1971.542,cumulative
control,after-render,2.271,self
control,after-render,1973.813,cumulative
control,paint,0.031,self
control,paint,1973.844,cumulative
control,load,580.997,self
control,load,580.997,cumulative
control,boot,204.74,self
control,boot,785.737,cumulative
control,transition,244.358,self
control,transition,1030.095,cumulative
control,render,606.088,self
control,render,1636.183,cumulative
control,lazy-render,405.816,self
control,lazy-render,2041.999,cumulative
control,after-render,2.5,self
control,after-render,2044.499,cumulative
control,paint,0.032,self
control,paint,2044.531,cumulative
control,load,516.828,self
control,load,516.828,cumulative
control,boot,195.532,self
control,boot,712.36,cumulative
control,transition,231.991,self
control,transition,944.351,cumulative
control,render,582.254,self
control,render,1526.605,cumulative
control,lazy-render,407.41,self
control,lazy-render,1934.015,cumulative
control,after-render,1.95,self
control,after-render,1935.965,cumulative
control,paint,0.029,self
control,paint,1935.994,cumulative
control,load,514.953,self
control,load,514.953,cumulative
control,boot,194.705,self
control,boot,709.658,cumulative
control,transition,237.204,self
control,transition,946.862,cumulative
control,render,619.171,self
control,render,1566.033,cumulative
control,lazy-render,418.289,self
control,lazy-render,1984.322,cumulative
control,after-render,2.93,self
control,after-render,1987.252,cumulative
control,paint,0.033,self
control,paint,1987.285,cumulative
control,load,522.417,self
control,load,522.417,cumulative
control,boot,196.844,self
control,boot,719.261,cumulative
control,transition,234.569,self
control,transition,953.83,cumulative
control,render,588.074,self
control,render,1541.904,cumulative
control,lazy-render,422.106,self
control,lazy-render,1964.01,cumulative
control,after-render,2.456,self
control,after-render,1966.466,cumulative
control,paint,0.034,self
control,paint,1966.5,cumulative
control,load,524.73,self
control,load,524.73,cumulative
control,boot,206.388,self
control,boot,731.118,cumulative
control,transition,235.484,self
control,transition,966.602,cumulative
control,render,610.064,self
control,render,1576.666,cumulative
control,lazy-render,406.014,self
control,lazy-render,1982.68,cumulative
control,after-render,2.015,self
control,after-render,1984.695,cumulative
control,paint,0.031,self
control,paint,1984.726,cumulative
control,load,614.93,self
control,load,614.93,cumulative
control,boot,192.161,self
control,boot,807.091,cumulative
control,transition,240.214,self
control,transition,1047.305,cumulative
control,render,590.122,self
control,render,1637.427,cumulative
control,lazy-render,442.171,self
control,lazy-render,2079.598,cumulative
control,after-render,2.353,self
control,after-render,2081.951,cumulative
control,paint,0.035,self
control,paint,2081.986,cumulative
control,load,523.325,self
control,load,523.325,cumulative
control,boot,197.368,self
control,boot,720.693,cumulative
control,transition,242.136,self
control,transition,962.829,cumulative
control,render,618.912,self
control,render,1581.741,cumulative
control,lazy-render,415.97,self
control,lazy-render,1997.711,cumulative
control,after-render,2.259,self
control,after-render,1999.97,cumulative
control,paint,0.033,self
control,paint,2000.003,cumulative
control,load,521.532,self
control,load,521.532,cumulative
control,boot,197.868,self
control,boot,719.4,cumulative
control,transition,237.093,self
control,transition,956.493,cumulative
control,render,593.425,self
control,render,1549.918,cumulative
control,lazy-render,407.489,self
control,lazy-render,1957.407,cumulative
control,after-render,3.003,self
control,after-render,1960.41,cumulative
control,paint,0.036,self
control,paint,1960.446,cumulative
control,load,521.982,self
control,load,521.982,cumulative
control,boot,197.188,self
control,boot,719.17,cumulative
control,transition,233.844,self
control,transition,953.014,cumulative
control,render,601.996,self
control,render,1555.01,cumulative
control,lazy-render,416.499,self
control,lazy-render,1971.509,cumulative
control,after-render,2.193,self
control,after-render,1973.702,cumulative
control,paint,0.033,self
control,paint,1973.735,cumulative
control,load,527.304,self
control,load,527.304,cumulative
control,boot,205.045,self
control,boot,732.349,cumulative
control,transition,236.123,self
control,transition,968.472,cumulative
control,render,585.072,self
control,render,1553.544,cumulative
control,lazy-render,411.958,self
control,lazy-render,1965.502,cumulative
control,after-render,1.988,self
control,after-render,1967.49,cumulative
control,paint,0.034,self
control,paint,1967.524,cumulative
control,load,526.168,self
control,load,526.168,cumulative
control,boot,202.715,self
control,boot,728.883,cumulative
control,transition,239.134,self
control,transition,968.017,cumulative
control,render,610.329,self
control,render,1578.346,cumulative
control,lazy-render,564.52,self
control,lazy-render,2142.866,cumulative
control,after-render,1.893,self
control,after-render,2144.759,cumulative
control,paint,0.032,self
control,paint,2144.791,cumulative
control,load,540.767,self
control,load,540.767,cumulative
control,boot,198.357,self
control,boot,739.124,cumulative
control,transition,238.714,self
control,transition,977.838,cumulative
control,render,612.691,self
control,render,1590.529,cumulative
control,lazy-render,410.351,self
control,lazy-render,2000.88,cumulative
control,after-render,2.554,self
control,after-render,2003.434,cumulative
control,paint,0.035,self
control,paint,2003.469,cumulative
control,load,518.434,self
control,load,518.434,cumulative
control,boot,208.46,self
control,boot,726.894,cumulative
control,transition,235.816,self
control,transition,962.71,cumulative
control,render,600.637,self
control,render,1563.347,cumulative
control,lazy-render,407.616,self
control,lazy-render,1970.963,cumulative
control,after-render,2.915,self
control,after-render,1973.878,cumulative
control,paint,0.041,self
control,paint,1973.919,cumulative
control,load,523.92,self
control,load,523.92,cumulative
control,boot,200.065,self
control,boot,723.985,cumulative
control,transition,236.563,self
control,transition,960.548,cumulative
control,render,590.992,self
control,render,1551.54,cumulative
control,lazy-render,407.525,self
control,lazy-render,1959.065,cumulative
control,after-render,1.984,self
control,after-render,1961.049,cumulative
control,paint,0.031,self
control,paint,1961.08,cumulative
control,load,529.858,self
control,load,529.858,cumulative
control,boot,197.935,self
control,boot,727.793,cumulative
control,transition,237.596,self
control,transition,965.389,cumulative
control,render,598.843,self
control,render,1564.232,cumulative
control,lazy-render,422.473,self
control,lazy-render,1986.705,cumulative
control,after-render,2.216,self
control,after-render,1988.921,cumulative
control,paint,0.037,self
control,paint,1988.958,cumulative
control,load,523.364,self
control,load,523.364,cumulative
control,boot,199.199,self
control,boot,722.563,cumulative
control,transition,239.794,self
control,transition,962.357,cumulative
control,render,601.992,self
control,render,1564.349,cumulative
control,lazy-render,420.652,self
control,lazy-render,1985.001,cumulative
control,after-render,1.896,self
control,after-render,1986.897,cumulative
control,paint,0.031,self
control,paint,1986.928,cumulative
control,load,527.012,self
control,load,527.012,cumulative
control,boot,204.333,self
control,boot,731.345,cumulative
control,transition,240.001,self
control,transition,971.346,cumulative
control,render,591.465,self
control,render,1562.811,cumulative
control,lazy-render,405.898,self
control,lazy-render,1968.709,cumulative
control,after-render,1.993,self
control,after-render,1970.702,cumulative
control,paint,0.03,self
control,paint,1970.732,cumulative
control,load,527.615,self
control,load,527.615,cumulative
control,boot,200.853,self
control,boot,728.468,cumulative
control,transition,242.768,self
control,transition,971.236,cumulative
control,render,585.895,self
control,render,1557.131,cumulative
control,lazy-render,416.075,self
control,lazy-render,1973.206,cumulative
control,after-render,2.143,self
control,after-render,1975.349,cumulative
control,paint,0.033,self
control,paint,1975.382,cumulative
control,load,522.074,self
control,load,522.074,cumulative
control,boot,204.212,self
control,boot,726.286,cumulative
control,transition,241.895,self
control,transition,968.181,cumulative
control,render,591.869,self
control,render,1560.05,cumulative
control,lazy-render,430.073,self
control,lazy-render,1990.123,cumulative
control,after-render,1.896,self
control,after-render,1992.019,cumulative
control,paint,0.03,self
control,paint,1992.049,cumulative
control,load,535.233,self
control,load,535.233,cumulative
control,boot,200.407,self
control,boot,735.64,cumulative
control,transition,232.349,self
control,transition,967.989,cumulative
control,render,595.341,self
control,render,1563.33,cumulative
control,lazy-render,414.55,self
control,lazy-render,1977.88,cumulative
control,after-render,1.941,self
control,after-render,1979.821,cumulative
control,paint,0.032,self
control,paint,1979.853,cumulative
control,load,566.052,self
control,load,566.052,cumulative
control,boot,199.475,self
control,boot,765.527,cumulative
control,transition,248.095,self
control,transition,1013.622,cumulative
control,render,602.709,self
control,render,1616.331,cumulative
control,lazy-render,426.397,self
control,lazy-render,2042.728,cumulative
control,after-render,2.227,self
control,after-render,2044.955,cumulative
control,paint,0.032,self
control,paint,2044.987,cumulative
control,load,520.824,self
control,load,520.824,cumulative
control,boot,200.921,self
control,boot,721.745,cumulative
control,transition,234.867,self
control,transition,956.612,cumulative
control,render,583.839,self
control,render,1540.451,cumulative
control,lazy-render,414.733,self
control,lazy-render,1955.184,cumulative
control,after-render,2.257,self
control,after-render,1957.441,cumulative
control,paint,0.034,self
control,paint,1957.475,cumulative
control,load,514.647,self
control,load,514.647,cumulative
control,boot,198.172,self
control,boot,712.819,cumulative
control,transition,243.079,self
control,transition,955.898,cumulative
control,render,584.532,self
control,render,1540.43,cumulative
control,lazy-render,408.182,self
control,lazy-render,1948.612,cumulative
control,after-render,1.977,self
control,after-render,1950.589,cumulative
control,paint,0.042,self
control,paint,1950.631,cumulative
control,load,522.227,self
control,load,522.227,cumulative
control,boot,201.612,self
control,boot,723.839,cumulative
control,transition,231.863,self
control,transition,955.702,cumulative
control,render,589.432,self
control,render,1545.134,cumulative
control,lazy-render,427.202,self
control,lazy-render,1972.336,cumulative
control,after-render,2.228,self
control,after-render,1974.564,cumulative
control,paint,0.032,self
control,paint,1974.596,cumulative
control,load,524.889,self
control,load,524.889,cumulative
control,boot,204.593,self
control,boot,729.482,cumulative
control,transition,236.663,self
control,transition,966.145,cumulative
control,render,574.343,self
control,render,1540.488,cumulative
control,lazy-render,419.712,self
control,lazy-render,1960.2,cumulative
control,after-render,2.202,self
control,after-render,1962.402,cumulative
control,paint,0.032,self
control,paint,1962.434,cumulative
control,load,522.574,self
control,load,522.574,cumulative
control,boot,196.701,self
control,boot,719.275,cumulative
control,transition,235.265,self
control,transition,954.54,cumulative
control,render,589.832,self
control,render,1544.372,cumulative
control,lazy-render,415.216,self
control,lazy-render,1959.588,cumulative
control,after-render,2.512,self
control,after-render,1962.1,cumulative
control,paint,0.033,self
control,paint,1962.133,cumulative
control,load,560.584,self
control,load,560.584,cumulative
control,boot,261.926,self
control,boot,822.51,cumulative
control,transition,239.826,self
control,transition,1062.336,cumulative
control,render,601.138,self
control,render,1663.474,cumulative
control,lazy-render,415.772,self
control,lazy-render,2079.246,cumulative
control,after-render,1.972,self
control,after-render,2081.218,cumulative
control,paint,0.033,self
control,paint,2081.251,cumulative
control,load,526.532,self
control,load,526.532,cumulative
control,boot,197.068,self
control,boot,723.6,cumulative
control,transition,247.686,self
control,transition,971.286,cumulative
control,render,608.973,self
control,render,1580.259,cumulative
control,lazy-render,435.38,self
control,lazy-render,2015.639,cumulative
control,after-render,2.172,self
control,after-render,2017.811,cumulative
control,paint,0.032,self
control,paint,2017.843,cumulative
control,load,517.911,self
control,load,517.911,cumulative
control,boot,194.512,self
control,boot,712.423,cumulative
control,transition,239.541,self
control,transition,951.964,cumulative
control,render,598.312,self
control,render,1550.276,cumulative
control,lazy-render,401.877,self
control,lazy-render,1952.153,cumulative
control,after-render,2.008,self
control,after-render,1954.161,cumulative
control,paint,0.032,self
control,paint,1954.193,cumulative
control,load,523.602,self
control,load,523.602,cumulative
control,boot,200.877,self
control,boot,724.479,cumulative
control,transition,232.401,self
control,transition,956.88,cumulative
control,render,586.838,self
control,render,1543.718,cumulative
control,lazy-render,401.728,self
control,lazy-render,1945.446,cumulative
control,after-render,2.509,self
control,after-render,1947.955,cumulative
control,paint,0.033,self
control,paint,1947.988,cumulative
